Property Location,Property Type & Transaction,Plot & Khatian No and Zone,Area of Property,Other Details,View Party
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 112D, Road: A. P. C. Road, , Ward: 027 Zone: (Maniktala More -- Rajabazar Crossing On Road) Deed Registered in: A.R.A. - III KOLKATA","Property Type: Land Transaction: [0204] Gift, Gift in f/o others except family members, Government, Local Body",Plot No : Khatian:,"Area of Land : 0.971667 decimal (9 Chatak,19 Sqft) Area of Structure: 701 Sq Ft","Deed No: I-190311764/2021 Volumne: , Page: 514054 - 514080 Date of Registration: 25/10/2021 Date of Completion: 01/12/2021 Query No: 19032002134510/2021 Serial No: 1903013078/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 48, Road: A. P. C. Road, , Ward: 037, Holding: 187 Zone: (Rajabazar Crossing -- Sealdah Station On Road) Deed Registered in: A.R.A. - II KOLKATA","Property Type: Land Transaction: [0101] Sale, Sale Document",Plot No : Khatian:,Area of Land : 1.0937 decimal (477.25 Sqft) Area of Structure: 629 Sq Ft,"Deed No: I-190201545/2021 Volumne: , Page: 100029 - 100075 Date of Registration: 17/03/2021 Date of Completion: 23/03/2021 Query No: 19022000382845/2021 Serial No: 1902001521/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 70/1C, Road: A. P. C. Road, , Ward: 037 Zone: (Rajabazar Crossing -- Sealdah Station On Road) Deed Registered in: A.R.A. - II KOLKATA","Property Type: Land Transaction: [0901] Declaration, Declaration relating to immovable property",Plot No : Khatian:,Area of Land : 4.95 decimal (3 Katha) Area of Structure: 2688 Sq Ft,"Deed No: I-190204173/2021 Volumne: , Page: 215697 - 215720 Date of Registration: 29/10/2021 Date of Completion: 01/11/2021 Query No: 19022002227243/2021 Serial No: 1902004326/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 70/1C, Road: A. P. C. Road, , Ward: 037 Zone: (Rajabazar Crossing -- Sealdah Station) Deed Registered in: A.R.A. - II KOLKATA","Property Type: Land Transaction: [0901] Declaration, Declaration relating to immovable property",Plot No : Khatian:,Area of Land : 4.95 decimal (3 Katha) Area of Structure: 2688 Sq Ft,"Deed No: I-190204174/2021 Volumne: , Page: 215721 - 215741 Date of Registration: 29/10/2021 Date of Completion: 01/11/2021 Query No: 19022002227641/2021 Serial No: 1902004327/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 76/1A, Road: A. P. C. Road, , Ward: 037 Zone: (Maniktala More -- Rajabazar Crossing) Deed Registered in: A.R.A. - III KOLKATA","Property Type: Land Transaction: [1401] Power of Attorney related to immovable properties, General Power of Attorney related to immovable properties",Plot No : Khatian:,"Area of Land : 14.025 decimal (8 Katha,8 Chatak)","Deed No: I-190304322/2021 Volumne: , Page: 199624 - 199645 Date of Registration: 20/04/2021 Date of Completion: 04/05/2021 Query No: 19032000814566/2021 Serial No: 1903004892/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 84, Road: A. P. C. Road, , Ward: 037 Zone: (Rajabazar Crossing -- Sealdah Station On Road) Deed Registered in: A.R.A. - I KOLKATA","Property Type: Land Transaction: [0903] Declaration, Cancellation of Agreement / Declaration",Plot No : Khatian:,"Area of Land : 23.4094 decimal (14 Katha,3 Chatak) Area of Structure: 8640 Sq Ft","Deed No: I-190102672/2021 Volumne: , Page: 161519 - 161539 Date of Registration: 06/04/2021 Date of Completion: 09/04/2021 Query No: 19012000639945/2021 Serial No: 1901002704/2021",
"District: Kolkata, PS; Amherst Street, Municipality: KOLKATA MUNICIPAL CORPORATION,, Premises: 84, Road: A. P. C. Road, , Ward: 037 Zone: (Rajabazar Crossing -- Sealdah Station On Road) Deed Registered in: A.R.A. - I KOLKATA","Property Type: Land Transaction: [0110] Sale, Development Agreement or Construction agreement",Plot No : Khatian:,"Area of Land : 23.4094 decimal (14 Katha,3 Chatak) Area of Structure: 8640 Sq Ft","Deed No: I-190102673/2021 Volumne: , Page: 161540 - 161604 Date of Registration: 06/04/2021 Date of Completion: 09/04/2021 Query No: 19012000640034/2021 Serial No: 1901002706/2021",
